Primer Pair:,zymo?,,,,,,,
ADAMTS17_852Del_SD_1/2/3,Zymo PCR Multiplex,,,,,,,
AMN GA_RD_5,Zymo PCR Multiplex,,,,,,,
AMN_GA_RD_1,Zymo PCR Multiplex,,,,,,,
AMN_GA_RD_3,Zymo PCR Multiplex,,,,,,,
ASIP_283Ins_SDM_3,Zymo PCR Multiplex,,,,,,,
ATP7B_112GA_RD_2/4/5,Zymo PCR Multiplex,,,,,,,
BCAN_B_SD_1/C_SD_5,Zymo PCR Multiplex,,,,,,,
DIRAS1_564Del_SD_1/2,Zymo PCR Multiplex,,,,,,,
DMD_670Ins_SD_1,Zymo PCR Multiplex,,,,,,,
DMD_SD_1,Zymo PCR Multiplex,,,,,,,
F7_895GA_RD_3/4,Zymo PCR Multiplex,,,,,,,
FAM134B_639Inv_1/4/5/6,Zymo PCR Multiplex,,,,,,,
FOX,Zymo PCR Multiplex,,,,,,,
FUCA1_866DEL_1/2/3,Zymo PCR Multiplex,,,,,,,
MITF_232Del_SDM_5,Zymo PCR Multiplex,,,,,,,
NIPAL4_279DelC_RD_1/2/3,Zymo PCR Multiplex,,,,,,,
NKX2-8_895_CT_RD3/4,Zymo PCR Multiplex,,,,,,,
PLA2G6_820GA_RD_1/2/3,Zymo PCR Multiplex,,,,,,,
RD3_SD_3G,Zymo PCR Multiplex,,,,,,,
RD3Ins_SD_1,Zymo PCR Multiplex,,,,,,,
SLC45A2_275Del_SD_1F/A3R/1R2,Zymo PCR Multiplex,,,,,,,
SLC45A2_275Del_SD_3AF/2R1/2R2,Zymo PCR Multiplex,,,,,,,
SLC6A5_698Del_SD_A_1,Zymo PCR Multiplex,,,,,,,
SOD1_AT_SD_2F/1R,Zymo PCR Multiplex,,,,,,,
SOD1_AT_SD_4 ,Zymo PCR Multiplex,,,,,,,
ABCB1_SD_1,Qiagen PCR Multiplex,,,,,,,
ABCB1_SD_1,Qiagen PCR Multiplex,,,,,,,
ARSG_AA_1,Qiagen PCR Multiplex,,,,,,,
ASIP[A>G]_MA,Qiagen PCR Multiplex,,,,,,,
ASIP[A>G]_MA,Qiagen PCR Multiplex,,,,,,,
ASIP[C>T]_MA,Qiagen PCR Multiplex,,,,,,,
ASIP_283Ins_SD_3,Qiagen PCR Multiplex,,,,,,,
ATF2_AA_2,Qiagen PCR Multiplex,,,,,,,
ATP7A_237CT_RD_1,Qiagen PCR Multiplex,,,,,,,
ATP7A_237CT_RD_4,Qiagen PCR Multiplex,,,,,,,
BEST1_cmr1_AA_2,Qiagen PCR Multiplex,,,,,,,
CBD103[del3],Qiagen PCR Multiplex,,,,,,,
CLN6_AA_1,Qiagen PCR Multiplex,,,,,,,
CLN8_950GA_RD_3,Qiagen PCR Multiplex,,,,,,,
CNGA1_897Del_SD_2/3,Qiagen PCR Multiplex,,,,,,,
CNGB3_SD_B_2,Qiagen PCR Multiplex,,,,,,,
CNGB3_SD_C_2_1,Qiagen PCR Multiplex,,,,,,,
COL11A2_AA_2,Qiagen PCR Multiplex,,,,,,,
COLQ_737TC_RD_1 ,Qiagen PCR Multiplex,,,,,,,
COMMD1.C,Qiagen PCR Multiplex,,,,,,,
DMD_C_AA_C_3,Qiagen PCR Multiplex,,,,,,,
DNM1[G/T]_PMSA_1 Mod 5,Qiagen PCR Multiplex,,,,,,,
DNM1_AA_2,Qiagen PCR Multiplex,,,,,,,
FAN1.C_SD_C_1,Qiagen PCR Multiplex,,,,,,,
